"","cage","treatment","side","edge","variable","timecol","datecol","JMCcol","value","time","ts","tst","Date"
"106",14,"b2","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"107",14,"b2","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"108",14,"b2","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"109",14,"b2","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"110",14,"b2","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"111",14,"b2","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"112",14,"b2","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"113",15,"45","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"114",15,"45","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"115",15,"45","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"116",15,"45","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"117",15,"45","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"118",15,"45","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"119",15,"45","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"120",15,"45","sw","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"121",1,"b2","sw","y","time1-24Jul-PJ","time1","2023-07-24","PJ",312,26,"b2sw","b2sw26",2023-07-24
"122",1,"b2","sw","y","time1-24Jul-PJ","time1","2023-07-24","PJ",241,26,"b2sw","b2sw26",2023-07-24
"123",1,"b2","sw","y","time1-24Jul-PJ","time1","2023-07-24","PJ",311,26,"b2sw","b2sw26",2023-07-24
"124",1,"b2","sw","y","time1-24Jul-PJ","time1","2023-07-24","PJ",163,26,"b2sw","b2sw26",2023-07-24
"125",1,"b2","sw","y","time1-24Jul-PJ","time1","2023-07-24","PJ",137,26,"b2sw","b2sw26",2023-07-24
"126",1,"b2","sw","y","time1-24Jul-PJ","time1","2023-07-24","PJ",54,26,"b2sw","b2sw26",2023-07-24
"127",1,"b2","sw","y","time1-24Jul-PJ","time1","2023-07-24","PJ",104,26,"b2sw","b2sw26",2023-07-24
"128",1,"b2","sw","y","time1-24Jul-PJ","time1","2023-07-24","PJ",772,26,"b2sw","b2sw26",2023-07-24
"129",2,"45","ne","y","time1-24Jul-PJ","time1","2023-07-24","PJ",137,26,"45ne","45ne26",2023-07-24
"130",2,"45","ne","y","time1-24Jul-PJ","time1","2023-07-24","PJ",124,26,"45ne","45ne26",2023-07-24
"131",2,"45","ne","y","time1-24Jul-PJ","time1","2023-07-24","PJ",98,26,"45ne","45ne26",2023-07-24
"132",2,"45","ne","y","time1-24Jul-PJ","time1","2023-07-24","PJ",62,26,"45ne","45ne26",2023-07-24
"133",2,"45","ne","y","time1-24Jul-PJ","time1","2023-07-24","PJ",118,26,"45ne","45ne26",2023-07-24
"134",2,"45","ne","y","time1-24Jul-PJ","time1","2023-07-24","PJ",121,26,"45ne","45ne26",2023-07-24
"135",2,"45","ne","y","time1-24Jul-PJ","time1","2023-07-24","PJ",87,26,"45ne","45ne26",2023-07-24
"136",2,"45","ne","y","time1-24Jul-PJ","time1","2023-07-24","PJ",78,26,"45ne","45ne26",2023-07-24
"137",3,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",277,26,"t2sw","t2sw26",2023-07-24
"138",3,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",175,26,"t2sw","t2sw26",2023-07-24
"139",3,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",228,26,"t2sw","t2sw26",2023-07-24
"140",3,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",110,26,"t2sw","t2sw26",2023-07-24
"141",3,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",75,26,"t2sw","t2sw26",2023-07-24
